Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.975,0.675,0.6762499999999999,0.675,0.6752032520325203
SVM,0.825,0.725,0.72625,0.725,0.7251719824890557
KNN,0.83125,0.75,0.75,0.75,0.75
