Model,Accuracy_Train,Accuracy_Test,Precision,Recall,F1_Score
Random Forest,0.9875,0.9,0.9035805626598465,0.9,0.8994949494949495
SVM,0.875,0.875,0.8828125,0.875,0.8738095238095237
KNN,0.89375,0.85,0.8633333333333333,0.85,0.84769820971867
